Date,East Of England,London,Midlands,North East and Yorkshire,North West,South East,South West
3/1/2020,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0
3/3/2020,1,0,0,0,0,0,0
3/4/2020,0,0,1,0,0,1,0
3/5/2020,0,0,0,0,0,0,0
3/6/2020,0,0,0,0,1,1,0
3/7/2020,1,1,0,0,0,0,0
3/8/2020,0,0,0,0,0,0,0
3/9/2020,0,0,2,0,1,1,0
3/10/2020,1,1,1,0,0,1,0
3/11/2020,0,0,0,0,0,1,0
3/12/2020,0,5,2,0,0,1,1
3/13/2020,0,6,6,0,2,0,0
3/14/2020,1,10,5,0,3,1,0
3/15/2020,2,13,4,0,1,1,1
3/16/2020,2,9,5,2,4,5,0
3/17/2020,1,15,11,3,2,8,0
3/18/2020,1,23,8,1,4,7,2
3/19/2020,5,28,13,2,6,10,2
3/20/2020,4,25,8,6,7,9,4
3/21/2020,2,44,28,5,10,13,3
3/22/2020,11,49,13,6,11,7,7
3/23/2020,12,54,31,7,13,25,7
3/24/2020,11,63,33,9,15,20,8
3/25/2020,19,86,41,8,21,22,7
3/26/2020,26,112,48,18,21,29,9
3/27/2020,36,130,64,21,29,35,11
3/28/2020,38,130,72,28,36,36,13
3/29/2020,28,123,89,35,28,36,21
3/30/2020,43,145,92,38,46,55,18
3/31/2020,46,151,90,64,67,58,23
4/1/2020,70,183,123,60,52,65,23
4/2/2020,63,202,140,67,86,66,21
4/3/2020,65,191,142,75,96,55,23
4/4/2020,80,199,124,100,95,73,31
4/5/2020,71,231,151,105,98,80,42
4/6/2020,76,195,164,92,102,82,32
4/7/2020,71,198,140,96,100,88,34
4/8/2020,93,220,123,102,136,100,39
4/9/2020,111,239,186,107,127,83,47
4/10/2020,87,207,140,111,119,104,24
4/11/2020,74,171,127,117,117,88,46
4/12/2020,92,178,142,98,139,88,43
4/13/2020,100,159,139,84,125,88,23
4/14/2020,78,166,121,94,130,84,28
4/15/2020,61,143,116,107,130,65,24
4/16/2020,82,143,147,96,114,72,32
4/17/2020,74,140,102,103,135,56,29
4/18/2020,86,101,118,88,98,86,33
4/19/2020,64,101,115,95,114,57,25
4/20/2020,67,104,93,88,71,70,31
4/21/2020,67,96,107,100,83,87,26
4/22/2020,75,96,87,76,76,51,26
4/23/2020,67,109,78,84,87,54,23
4/24/2020,49,77,103,63,85,57,17
4/25/2020,66,71,79,72,67,64,19
4/26/2020,54,58,72,69,67,51,15
4/27/2020,48,53,81,65,55,51,27
4/28/2020,46,52,74,65,54,41,13
4/29/2020,58,44,68,57,57,40,17
4/30/2020,32,45,53,69,64,47,15
5/1/2020,45,40,56,57,60,29,26
5/2/2020,49,41,65,64,45,37,6
5/3/2020,29,41,51,48,56,36,7
5/4/2020,41,36,52,40,55,17,10
5/5/2020,19,30,61,49,48,35,17
5/6/2020,37,25,59,40,49,29,14
5/7/2020,32,37,59,51,44,25,19
5/8/2020,33,37,48,45,50,27,16
5/9/2020,33,31,34,42,43,26,6
5/10/2020,29,23,37,44,31,28,11
5/11/2020,22,26,42,40,42,19,5
5/12/2020,18,18,33,29,35,25,8
5/13/2020,21,18,45,27,38,27,7
5/14/2020,27,17,40,28,25,18,7
5/15/2020,26,20,39,31,26,32,6
5/16/2020,19,19,40,32,33,25,4
5/17/2020,26,14,34,35,32,22,4
5/18/2020,17,16,31,26,24,18,6
5/19/2020,25,11,37,30,31,23,4
5/20/2020,15,14,35,27,35,12,6
5/21/2020,26,19,36,22,27,22,1
5/22/2020,21,12,32,33,28,15,9
5/23/2020,13,10,27,22,26,17,7
5/24/2020,12,6,34,18,31,21,6
5/25/2020,17,7,20,26,26,17,3
5/26/2020,25,9,26,21,31,13,8
5/27/2020,14,14,33,21,27,19,11
5/28/2020,12,7,29,23,27,19,5
5/29/2020,17,8,28,21,28,12,10
5/30/2020,16,7,20,25,20,22,7
5/31/2020,9,12,21,20,19,8,3
6/1/2020,8,6,22,20,13,12,2
6/2/2020,17,10,20,17,12,11,7
6/3/2020,14,8,22,23,27,13,2
6/4/2020,10,6,24,24,22,18,7
6/5/2020,7,8,16,17,22,11,2
